i	M1	Pi	M2	MWD	Pf	CV?
26	1.0	50.0	0.2	inf	inf	no
27	1.0	50.0	0.25	inf	inf	no
28	1.0	50.0	0.3	0.3287736087378847	0.04234003249762525	yes
32	1.0	87.0	0.1	inf	inf	no
33	1.0	87.0	0.15	inf	inf	no
34	1.0	87.0	0.2	0.3412221280917791	0.05874707048641917	yes
35	1.0	87.0	0.25	0.331770209767	0.11944736478820715	no
36	1.0	87.0	0.3	0.33037727213	0.1989423039640936	no
40	1.0	149.0	0.1	0.367729117045	0.0741298091957546	no
41	1.0	149.0	0.15	0.3639868494679999	0.2250008997777891	no
42	1.0	149.0	0.2	0.36139639265500006	0.3355073972467453	no
43	1.0	149.0	0.25	0.359392392222	0.43791173794348515	no
44	1.0	149.0	0.3	0.357748934706	0.5356024287729773	no
45	1.0	149.0	0.35	0.356441895959	0.6300515105359507	no
48	1.0	257.0	0.1	0.402250661367	0.3330568532115886	no
49	1.0	257.0	0.15	0.3976703707759999	0.5429939349755056	no
50	1.0	257.0	0.2	0.39447729163800005	0.7478133679273843	no
51	1.0	257.0	0.25	0.39213669365000003	0.9480360439687185	no
52	1.0	257.0	0.3	0.390245987314	1.1431498050748299	no
53	1.0	257.0	0.35	0.388621588644	1.3329585926772924	no
56	1.0	442.0	0.1	0.44357382963	0.7427799619838429	no
57	1.0	442.0	0.15	0.438103569035	1.1751161553343692	no
58	1.0	442.0	0.2	0.434314864228	1.6032698583123954	no
59	1.0	442.0	0.25	0.431382337835	2.022457979597431	no
60	1.0	442.0	0.3	0.428995319043	2.431312250968569	no
61	1.0	442.0	0.35	0.427149775887	2.832093085214094	no
62	1.0	442.0	0.4	0.425654856178	3.1932498333497716	no
114	1.3	84.0	0.2	inf	inf	no
115	1.3	84.0	0.25	inf	inf	no
116	1.3	84.0	0.3	inf	inf	no
120	1.3	143.0	0.1	inf	inf	no
121	1.3	143.0	0.15	inf	inf	no
122	1.3	143.0	0.2	0.38722217753452337	0.04315020550763321	yes
123	1.3	143.0	0.25	0.37802692173583596	0.08277455495212577	yes
124	1.3	143.0	0.3	0.371138717917	0.15801079023031686	no
125	1.3	143.0	0.35	0.3697395748069999	0.22671369147421946	no
128	1.3	244.0	0.1	0.42309859477789996	0.043797610160579606	yes
129	1.3	244.0	0.15	0.413785582052	0.19455400297612088	no
130	1.3	244.0	0.2	0.410266382704	0.30626961772237316	no
131	1.3	244.0	0.25	0.40767183709699994	0.40742282102209465	no
132	1.3	244.0	0.3	0.405600272477	0.5035643433177004	no
133	1.3	244.0	0.35	0.403765665001	0.5959066783903303	no
136	1.3	417.0	0.1	0.463727168834	0.30196212601905126	no
137	1.3	417.0	0.15	0.457776938891	0.5041350310238469	no
138	1.3	417.0	0.2	0.45343466946	0.7012672853834615	no
139	1.3	417.0	0.25	0.450215382615	0.8946730321378359	no
140	1.3	417.0	0.3	0.44753350261499997	1.083473920423365	no
141	1.3	417.0	0.35	0.445374363078	1.268456394749473	no
142	1.3	417.0	0.4	0.443561528644	1.2241545131978357	no
289	2.0	232.0	0.15	inf	inf	no
290	2.0	232.0	0.2	inf	inf	no
291	2.0	232.0	0.25	inf	inf	no
292	2.0	232.0	0.3	0.4639703466653435	0.04245092370618385	yes
293	2.0	232.0	0.35	0.46121064394537814	0.059273596938986955	yes
294	2.0	232.0	0.4	0.46662813210093973	0.04964380395404042	yes
367	2.3	137.0	0.45	inf	inf	no
764	4.0	421.0	0.35	inf	inf	no
765	4.0	421.0	0.4	inf	inf	no
766	4.0	421.0	0.5	inf	inf	no
767	4.0	421.0	0.55	inf	inf	no
768	4.0	421.0	0.6	inf	inf	no
769	4.0	421.0	0.7	inf	inf	no
868	5.0	459.0	0.75	inf	inf	no
869	5.0	459.0	0.8	inf	inf	no
872	5.0	793.0	0.25	inf	inf	no
873	5.0	793.0	0.3	inf	inf	no
874	5.0	793.0	0.4	inf	inf	no
875	5.0	793.0	0.5	inf	inf	no
876	5.0	793.0	0.55	inf	inf	no
877	5.0	793.0	0.65	inf	inf	no
878	5.0	793.0	0.75	inf	inf	no
879	5.0	793.0	0.8	inf	inf	no
974	6.0	888.0	0.45	inf	inf	no
975	6.0	888.0	0.5	inf	inf	no
976	6.0	888.0	0.6	inf	inf	no
977	6.0	888.0	0.7	inf	inf	no
978	6.0	888.0	0.8	inf	inf	no
979	6.0	888.0	0.85	inf	inf	no
1075	7.0	1009.0	0.55	inf	inf	no
1077	7.0	1009.0	0.75	inf	inf	no
1078	7.0	1009.0	0.8	inf	inf	no
1079	7.0	1009.0	0.9	inf	inf	no
1179	8.0	1157.0	0.95	inf	inf	no
1389	10.0	2919.0	1.15	inf	inf	no
