i	age
0	430045223.6551724
1	870463538.9655173
2	1310881854.2758622
3	1751300169.586207
4	2191718484.896552
5	2632136800.206897
6	3072555115.517241
7	3512973430.827586
8	3953391746.1379313
9	4393810061.448276
10	4834228376.75862
11	5274646692.068966
12	5715065007.379311
13	6155483322.689654
14	6595901638.0
15	7036319953.310346
16	7476738268.620689
17	7917156583.931034
18	8357574899.24138
19	8797993214.551723
20	9238411529.862068
21	9678829845.172413
22	10119248160.482758
23	10559666475.793102
24	11000084791.103449
25	11440503106.413794
26	11880921421.724138
27	12321339737.034485
28	12761758052.344828
